u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,service,access
3382281865,3382281870,0,331165676,False,,residential,False,27.915,,"LINESTRING (105.8174339 21.0420948, 105.8174264 21.0419864, 105.8174612 21.0419188, 105.8174779 21.0418532)",,
3382281865,3341124627,0,397017618,True,,primary_link,False,45.534,2,"LINESTRING (105.8174339 21.0420948, 105.8175606 21.0420917, 105.8178725 21.0420839)",,
3382281869,3382281870,0,331165676,False,,residential,True,10.076,,"LINESTRING (105.8174907 21.0417636, 105.8174854 21.0418237, 105.8174779 21.0418532)",,
3382281870,3382281869,0,331165676,False,,residential,False,10.076,,"LINESTRING (105.8174779 21.0418532, 105.8174854 21.0418237, 105.8174907 21.0417636)",,
3382281870,3382281865,0,331165676,False,,residential,True,27.915,,"LINESTRING (105.8174779 21.0418532, 105.8174612 21.0419188, 105.8174264 21.0419864, 105.8174339 21.0420948)",,
3382281870,3382281874,0,331165677,False,,residential,False,45.324000000000005,,"LINESTRING (105.8174779 21.0418532, 105.8173486 21.0418562, 105.8172922 21.0418662, 105.8172842 21.0420039, 105.8172737 21.0420988)",,
3382281874,3382281865,0,397017618,True,,primary_link,False,16.632,2,"LINESTRING (105.8172737 21.0420988, 105.8174339 21.0420948)",,
3382281874,3382281870,0,331165677,False,,residential,True,45.324,,"LINESTRING (105.8172737 21.0420988, 105.8172842 21.0420039, 105.8172922 21.0418662, 105.8173486 21.0418562, 105.8174779 21.0418532)",,
3382281875,3382281876,0,331165678,False,,residential,False,25.988,,"LINESTRING (105.8171679 21.0421034, 105.8171709 21.0418697)",,
3382281875,3382281874,0,397017618,True,,primary_link,False,10.992,2,"LINESTRING (105.8171679 21.0421034, 105.8172737 21.0420988)",,
3382281876,3382281875,0,331165678,False,,residential,True,25.988,,"LINESTRING (105.8171709 21.0418697, 105.8171679 21.0421034)",,
3382291896,3382291922,0,331167313,False,,service,True,9.367,,"LINESTRING (105.8169674 21.0406954, 105.8169851 21.040778)",alley,
3382291896,2657122085,0,"[331167313, 331167315]",False,,service,"[False, True]",101.50399999999999,,"LINESTRING (105.8169674 21.0406954, 105.8170594 21.0406723, 105.8170983 21.0406063, 105.8171805 21.0406383, 105.8172252 21.0406952, 105.8172984 21.0407142, 105.817396 21.0407369, 105.8175098 21.0407939, 105.8176602 21.0408204, 105.8178358 21.0407897)",alley,
3382291896,3382291935,0,331167320,False,,service,True,80.19399999999999,,"LINESTRING (105.8169674 21.0406954, 105.8170057 21.0405814, 105.8169853 21.0403916, 105.8169609 21.0401792, 105.8168986 21.0399906)",alley,
3382291899,10302026173,0,331167314,False,Ngõ 67,residential,False,9.089,,"LINESTRING (105.8160485 21.0401987, 105.8161337 21.0401798)",,
3382291899,6408629570,0,37567094,True,Đường Văn Cao,primary,False,48.432,2,"LINESTRING (105.8160485 21.0401987, 105.8160864 21.0403339, 105.8161743 21.0406181)",,
3382291903,7437479438,0,331167314,False,Ngõ 67,residential,True,1.038,,"LINESTRING (105.8174285 21.0399743, 105.8174185 21.0399743)",,
3382291903,3382291909,0,331167314,False,Ngõ 67,residential,False,122.9,,"LINESTRING (105.8174285 21.0399743, 105.8177618 21.039906, 105.8179407 21.0398756, 105.8180098 21.0398908, 105.818083 21.0399781, 105.8180627 21.0400615, 105.8176927 21.0401412)",,
3382291903,3382291941,0,331167321,False,,service,False,38.15,,"LINESTRING (105.8174285 21.0399743, 105.8173621 21.039833, 105.8173499 21.039723, 105.8174271 21.0396926)",alley,
3382291909,3382291903,0,331167314,False,Ngõ 67,residential,True,122.89999999999999,,"LINESTRING (105.8176927 21.0401412, 105.8180627 21.0400615, 105.818083 21.0399781, 105.8180098 21.0398908, 105.8179407 21.0398756, 105.8177618 21.039906, 105.8174285 21.0399743)",,
3382291921,3382291922,0,331167313,False,,service,False,52.277,,"LINESTRING (105.8170673 21.0412414, 105.817051 21.0411806, 105.8170202 21.041011, 105.8169992 21.0408441, 105.8169851 21.040778)",alley,
3382291921,10302026177,0,331167313,False,,service,True,101.63999999999999,,"LINESTRING (105.8170673 21.0412414, 105.8170818 21.0412956, 105.8171712 21.0414481, 105.8171527 21.0415746, 105.8170695 21.0415803, 105.8169801 21.0415487, 105.816823 21.0415602, 105.8166536 21.0415688, 105.816566 21.0415889)",alley,
3382291921,2657122672,0,"[260225841, 331167316]",False,,service,True,88.601,,"LINESTRING (105.8170673 21.0412414, 105.817152 21.0411961, 105.8172293 21.0411733, 105.8173472 21.0411012, 105.817461 21.0410784, 105.8176399 21.0410519, 105.8177587 21.0410272, 105.8178555 21.0409695)",alley,
3382291922,3382291896,0,331167313,False,,service,False,9.367,,"LINESTRING (105.8169851 21.040778, 105.8169674 21.0406954)",alley,
3382291922,3382291921,0,331167313,False,,service,True,52.277,,"LINESTRING (105.8169851 21.040778, 105.8169992 21.0408441, 105.8170202 21.041011, 105.817051 21.0411806, 105.8170673 21.0412414)",alley,
3382291922,3382291924,0,331167317,False,,service,False,33.027,,"LINESTRING (105.8169851 21.040778, 105.816778 21.040809, 105.8166723 21.0408318)",alley,
3382291924,3382291932,0,331167317,False,,service,False,26.877,,"LINESTRING (105.8166723 21.0408318, 105.8167258 21.0410683)",alley,
3382291924,3382291922,0,331167317,False,,service,True,33.027,,"LINESTRING (105.8166723 21.0408318, 105.816778 21.040809, 105.8169851 21.040778)",alley,
3382291924,3382291931,0,331167318,False,,service,False,86.715,,"LINESTRING (105.8166723 21.0408318, 105.8166886 21.0407445, 105.816652 21.0405662, 105.8166113 21.0403309, 105.8165529 21.0400651)",alley,
3382291927,3382291932,0,331167317,False,,service,True,28.950000000000003,,"LINESTRING (105.8168024 21.0413175, 105.8167577 21.041215, 105.8167333 21.0411012, 105.8167258 21.0410683)",alley,
3382291931,3382291935,0,331167314,False,Ngõ 67,residential,False,36.897999999999996,,"LINESTRING (105.8165529 21.0400651, 105.8166316 21.0400388, 105.8168986 21.0399906)",,
3382291931,10302026173,0,331167314,False,Ngõ 67,residential,True,45.405,,"LINESTRING (105.8165529 21.0400651, 105.8163593 21.0401298, 105.8161337 21.0401798)",,
3382291931,3382291924,0,331167318,False,,service,True,86.715,,"LINESTRING (105.8165529 21.0400651, 105.8166113 21.0403309, 105.816652 21.0405662, 105.8166886 21.0407445, 105.8166723 21.0408318)",alley,
3382291932,3382291924,0,331167317,False,,service,True,26.877,,"LINESTRING (105.8167258 21.0410683, 105.8166723 21.0408318)",alley,
3382291932,3382291927,0,331167317,False,,service,False,28.95,,"LINESTRING (105.8167258 21.0410683, 105.8167333 21.0411012, 105.8167577 21.041215, 105.8168024 21.0413175)",alley,
3382291932,10302026176,0,331167319,False,Ngõ 33,residential,False,31.959,,"LINESTRING (105.8167258 21.0410683, 105.8165503 21.0411278, 105.816436 21.0411655)",,
3382291934,10302026176,0,331167319,False,Ngõ 33,residential,True,9.973,,"LINESTRING (105.8163454 21.0411954, 105.816436 21.0411655)",,
3382291934,3382281585,0,37567094,True,Đường Văn Cao,primary,False,47.967999999999996,2,"LINESTRING (105.8163454 21.0411954, 105.8164293 21.0414999, 105.816464 21.0416123)",,
3382291935,3382291946,0,331167323,False,,service,False,51.105,,"LINESTRING (105.8168986 21.0399906, 105.8168167 21.0395374)",alley,
