osmid,y,x,street_count,highway,geometry
2175079235,21.0420689,105.8183886,3,,POINT (105.8183886 21.0420689)
2195289142,21.0374458,105.8152145,3,,POINT (105.8152145 21.0374458)
2195289151,21.0369038,105.8154275,3,,POINT (105.8154275 21.0369038)
2428074053,21.0342477,105.8194359,3,,POINT (105.8194359 21.0342477)
2428074060,21.0339883,105.817481,1,,POINT (105.817481 21.0339883)
2428074065,21.0342109,105.8179247,1,,POINT (105.8179247 21.0342109)
2428074075,21.034309,105.8186787,3,,POINT (105.8186787 21.034309)
2428074086,21.0343166,105.8198834,3,,POINT (105.8198834 21.0343166)
2428074112,21.03454,105.8184997,1,,POINT (105.8184997 21.03454)
2428074145,21.0346459,105.8177827,1,,POINT (105.8177827 21.0346459)
2428074162,21.0346988,105.8186932,3,,POINT (105.8186932 21.0346988)
2428074165,21.0346925,105.8185066,3,,POINT (105.8185066 21.0346925)
2428074167,21.0347,105.8183382,1,,POINT (105.8183382 21.0347)
2428074182,21.0347702,105.8187428,3,,POINT (105.8187428 21.0347702)
2428074183,21.0347586,105.8200675,1,,POINT (105.8200675 21.0347586)
2428074184,21.0347565,105.8199552,3,,POINT (105.8199552 21.0347565)
2428074188,21.0347563,105.8194033,3,,POINT (105.8194033 21.0347563)
2428074244,21.0351781,105.8199921,1,,POINT (105.8199921 21.0351781)
2428074479,21.0358743,105.8196843,3,,POINT (105.8196843 21.0358743)
2428074481,21.0358853,105.8196485,3,,POINT (105.8196485 21.0358853)
2428074483,21.0359011,105.819401,1,,POINT (105.819401 21.0359011)
2428074509,21.0360694,105.8165788,3,,POINT (105.8165788 21.0360694)
2428074527,21.0362039,105.8166678,3,,POINT (105.8166678 21.0362039)
2428074599,21.0365045,105.8196698,1,,POINT (105.8196698 21.0365045)
2625487077,21.0352707,105.8202626,3,,POINT (105.8202626 21.0352707)
2631904560,21.0363509,105.8203956,3,,POINT (105.8203956 21.0363509)
2631904570,21.0364784,105.8197975,1,,POINT (105.8197975 21.0364784)
2631904572,21.0363984,105.8199566,3,,POINT (105.8199566 21.0363984)
2631904578,21.0366324,105.8201962,1,,POINT (105.8201962 21.0366324)
2631904580,21.0365102,105.8199962,4,,POINT (105.8199962 21.0365102)
2631904582,21.03656,105.8197975,1,,POINT (105.8197975 21.03656)
2631904584,21.0364746,105.8201532,1,,POINT (105.8201532 21.0364746)
2631904586,21.0365746,105.8200189,3,,POINT (105.8200189 21.0365746)
2631904587,21.0365372,105.8202121,1,,POINT (105.8202121 21.0365372)
2631904591,21.0368737,105.8202564,3,,POINT (105.8202564 21.0368737)
2631904602,21.03688,105.8202188,3,,POINT (105.8202188 21.03688)
2631904604,21.0369983,105.8202731,1,,POINT (105.8202731 21.0369983)
2631904624,21.0365393,105.8185924,3,,POINT (105.8185924 21.0365393)
2631904628,21.0362752,105.818526,3,,POINT (105.818526 21.0362752)
2631904630,21.0361275,105.818593,3,,POINT (105.818593 21.0361275)
2631904636,21.0354064,105.8188356,3,,POINT (105.8188356 21.0354064)
2631904644,21.0370549,105.8189106,3,,POINT (105.8189106 21.0370549)
2631904649,21.0373839,105.8186417,1,,POINT (105.8186417 21.0373839)
2631904651,21.0368018,105.81871,3,,POINT (105.81871 21.0368018)
2631904667,21.036774,105.8179602,3,,POINT (105.8179602 21.036774)
2631904669,21.0369807,105.8180533,3,,POINT (105.8180533 21.0369807)
2631904672,21.0370047,105.8182892,3,,POINT (105.8182892 21.0370047)
2631904673,21.0369677,105.8184152,3,,POINT (105.8184152 21.0369677)
2631904675,21.0369115,105.8184963,3,,POINT (105.8184963 21.0369115)
2631904676,21.0370025,105.818553,1,,POINT (105.818553 21.0370025)
2631904677,21.03702,105.8184479,1,,POINT (105.8184479 21.03702)
2631904679,21.0368216,105.8182425,1,,POINT (105.8182425 21.0368216)
2631904681,21.0370527,105.8178362,1,,POINT (105.8178362 21.0370527)
2631904682,21.0365156,105.8176543,3,,POINT (105.8176543 21.0365156)
2631904685,21.0364729,105.8180136,3,,POINT (105.8180136 21.0364729)
2631904687,21.0362771,105.8181307,3,,POINT (105.8181307 21.0362771)
2631904688,21.0365559,105.8178792,3,,POINT (105.8178792 21.0365559)
2631904689,21.0366168,105.8179109,1,,POINT (105.8179109 21.0366168)
2631904690,21.0365928,105.8180883,1,,POINT (105.8180883 21.0365928)
2631904696,21.0360937,105.8178945,1,,POINT (105.8178945 21.0360937)
2631904697,21.0360635,105.8186286,3,,POINT (105.8186286 21.0360635)
2631904698,21.0361286,105.8188472,1,,POINT (105.8188472 21.0361286)
2631904699,21.0369388,105.8188002,3,,POINT (105.8188002 21.0369388)
2631904700,21.0370984,105.8185997,3,,POINT (105.8185997 21.0370984)
2631904703,21.0371594,105.8181747,1,,POINT (105.8181747 21.0371594)
2631904704,21.0371791,105.818539,3,,POINT (105.818539 21.0371791)
2631904707,21.0373425,105.8183569,1,,POINT (105.8183569 21.0373425)
2631904708,21.0372597,105.8185553,1,,POINT (105.8185553 21.0372597)
2631904712,21.0364038,105.8190402,3,,POINT (105.8190402 21.0364038)
2631904716,21.0370229,105.8191906,1,,POINT (105.8191906 21.0370229)
2631904717,21.0358531,105.8192521,3,,POINT (105.8192521 21.0358531)
2631904722,21.0358814,105.818866,1,,POINT (105.818866 21.0358814)
2631904723,21.036367,105.8186809,1,,POINT (105.8186809 21.036367)
2631904724,21.0365849,105.8190113,3,,POINT (105.8190113 21.0365849)
2631904725,21.0366049,105.8193837,1,,POINT (105.8193837 21.0366049)
2631906068,21.0367192,105.8171102,3,,POINT (105.8171102 21.0367192)
2631906069,21.0365805,105.8176624,3,,POINT (105.8176624 21.0365805)
2634652555,21.0375019,105.8197519,3,,POINT (105.8197519 21.0375019)
2634652559,21.0372112,105.8202405,1,,POINT (105.8202405 21.0372112)
2634652561,21.0379228,105.8197564,3,,POINT (105.8197564 21.0379228)
2634652562,21.037961,105.8199463,3,,POINT (105.8199463 21.037961)
2634652563,21.0379501,105.8201354,3,,POINT (105.8201354 21.0379501)
2634652564,21.0379457,105.8201961,3,,POINT (105.8201961 21.0379457)
2634652566,21.0378869,105.8203479,1,,POINT (105.8203479 21.0378869)
2634652569,21.0376973,105.8201354,1,,POINT (105.8201354 21.0376973)
2634652570,21.0380939,105.8199509,1,,POINT (105.8199509 21.0380939)
2634652576,21.0385494,105.8192551,1,,POINT (105.8192551 21.0385494)
2634652577,21.038012,105.8197362,3,,POINT (105.8197362 21.038012)
2634652587,21.0387369,105.8188115,1,,POINT (105.8188115 21.0387369)
2634652588,21.0385943,105.8188728,3,,POINT (105.8188728 21.0385943)
2634652592,21.0384884,105.8190776,1,,POINT (105.8190776 21.0384884)
2634652593,21.0384074,105.8198594,3,,POINT (105.8198594 21.0384074)
2634652605,21.0388517,105.8199926,3,,POINT (105.8199926 21.0388517)
2634652607,21.0388109,105.8202895,3,,POINT (105.8202895 21.0388109)
2634652608,21.0386628,105.8202685,1,,POINT (105.8202685 21.0386628)
2634652609,21.0389548,105.8203035,1,,POINT (105.8203035 21.0389548)
2634652610,21.0390629,105.8200043,3,,POINT (105.8200043 21.0390629)
2634652611,21.0390616,105.8202732,1,,POINT (105.8202732 21.0390616)
2634652618,21.0389548,105.8204693,3,,POINT (105.8204693 21.0389548)
2634652622,21.0392205,105.820356,3,,POINT (105.820356 21.0392205)
2634652623,21.0392163,105.8205604,1,,POINT (105.8205604 21.0392163)
2634652625,21.0381015,105.8203953,1,,POINT (105.8203953 21.0381015)
2634652626,21.0381777,105.8203989,3,,POINT (105.8203989 21.0381777)
2634652628,21.0381799,105.8202786,1,,POINT (105.8202786 21.0381799)
2634652629,21.038953,105.8207028,3,,POINT (105.8207028 21.038953)
2634652636,21.0392304,105.8210608,3,,POINT (105.8210608 21.0392304)
2634652638,21.0391454,105.8211285,3,,POINT (105.8211285 21.0391454)
2634652641,21.0391889,105.8208425,3,,POINT (105.8208425 21.0391889)
2634652645,21.0393699,105.8207409,1,,POINT (105.8207409 21.0393699)
2634652653,21.0395159,105.8211285,1,,POINT (105.8211285 21.0395159)
2634652656,21.0392892,105.8212126,1,,POINT (105.8212126 21.0392892)
2634652657,21.0390014,105.8210733,3,,POINT (105.8210733 21.0390014)
2634652658,21.0390168,105.820923,1,,POINT (105.820923 21.0390168)
2634652659,21.0391211,105.8199947,3,,POINT (105.8199947 21.0391211)
2634652662,21.0390234,105.8195664,3,,POINT (105.8195664 21.0390234)
2634652663,21.0389261,105.8192652,1,,POINT (105.8192652 21.0389261)
2634652666,21.0387139,105.8195477,1,,POINT (105.8195477 21.0387139)
2634658864,21.0398314,105.8199249,3,,POINT (105.8199249 21.0398314)
2634658868,21.0396035,105.8204019,1,,POINT (105.8204019 21.0396035)
2634658872,21.0399313,105.8205745,3,,POINT (105.8205745 21.0399313)
2634658877,21.0402045,105.8210982,1,,POINT (105.8210982 21.0402045)
2634658881,21.0396322,105.8207378,1,,POINT (105.8207378 21.0396322)
2634658882,21.0399665,105.8208469,3,,POINT (105.8208469 21.0399665)
2634658884,21.0397501,105.8208148,1,,POINT (105.8208148 21.0397501)
2634658885,21.03996,105.8208186,3,,POINT (105.8208186 21.03996)
2634658889,21.0403885,105.8208086,1,,POINT (105.8208086 21.0403885)
